dataset,name,n_conditions,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,ci9875_excludes_zero
btad,I_TRI,8,-0.00010707283500751433,-0.0018019886387240854,0.001959822483575287,-0.0022358873101968506,0.0025092852747466616,False
btad,I_BAL,8,-0.000845401904452638,-0.0025805993035035975,0.0011610001935631307,-0.0029648875848164217,0.001769799664439983,False
