seed,shot,name,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,ci95_excludes_zero,ci9875_excludes_zero,nested
0,1,I_TRI,0.00125625648085795,-0.0014027669520651626,0.004139952957303666,-0.002119241513483108,0.005358343054545149,False,False,True
0,1,I_BAL,0.00012328680597641572,-0.0026367122432851245,0.0029743718312718994,-0.0034771400987905817,0.004064067266112576,False,False,True
0,2,I_TRI,-0.0004531883559684294,-0.002880173598413418,0.002375486482534174,-0.0035042060275858136,0.0032850614485959257,False,False,True
0,2,I_BAL,-0.0014187916331929817,-0.0037012508993468744,0.0009975013608591176,-0.004322208191903622,0.0018893180358219711,False,False,True
0,4,I_TRI,-0.0025845191953004928,-0.004949577642400535,-9.410886606385228e-05,-0.005323897035607191,0.0005422465246158809,True,False,True
0,4,I_BAL,-0.0026759305291816815,-0.004878450923089133,-0.00032364907962905445,-0.005485661787559752,0.000142005948192145,True,False,True
0,8,I_TRI,-0.002302972371978928,-0.004432556105166805,-0.00015821113110121873,-0.005050064948170302,0.0004902773718081959,True,False,True
0,8,I_BAL,-0.0029172608249724893,-0.005055830035657544,-0.000840455666375006,-0.0054990099877546715,2.510627617762854e-05,True,False,True
1,1,I_TRI,0.003028746226565092,0.0011874352613311437,0.005390640273019753,0.0008340095030693911,0.0058855126796141235,True,True,True
1,1,I_BAL,0.0017240877003937788,-6.857799390084745e-05,0.003978280583015016,-0.00035779867311748454,0.0046404780730678035,False,False,True
1,2,I_TRI,0.0024220097539348223,0.0003211645349512529,0.005044084420859024,-0.0002537109996687385,0.005688591618551337,True,False,True
1,2,I_BAL,0.0013476926483307295,-0.0007616913372900211,0.0038419846706703913,-0.0013445645000720082,0.004725786115706726,False,False,True
1,4,I_TRI,-5.156748052102966e-05,-0.0021890868343348966,0.002543647059225609,-0.002805140151889416,0.0034932055116395195,False,False,True
1,4,I_BAL,-0.0009886300297743365,-0.0032106190972873198,0.0017016893324240416,-0.0035976973257074293,0.0026017235009536434,False,False,True
1,8,I_TRI,-0.002171347737649098,-0.004141607635522934,-8.825265719971217e-05,-0.0046893286824512565,0.0006057111533264239,True,False,True
1,8,I_BAL,-0.001957669373200539,-0.0038578785186096274,0.0001449181368278261,-0.004497569583707751,0.0010187743417109907,False,False,True
