dataset,name,n_conditions,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,ci9875_excludes_zero
btad,I_TRI,8,-0.00020748595687089294,-0.0019225034150954336,0.001861476553999253,-0.0023502275667552134,0.0024375756258426754,False
btad,I_BAL,8,-0.0008945533002541812,-0.0026469380538337558,0.00109812500559317,-0.0030576761819406015,0.001665856475783743,False
