category,sample_count,image_auroc,image_ap,image_f1_max,pixel_auroc,pixel_ap,aupro
mvtec_candle,200,0.7938000000000001,0.8016179139016308,0.746268656716418,0.9101809005277736,0.11794355380997332,0.7814562279625947
mvtec_capsules,160,0.5125,0.6511499269302821,0.7692307692307693,0.8730769340191346,0.12258080457344431,0.36907059526350294
mvtec_cashew,150,0.9234,0.9643757073133611,0.8944723618090452,0.9849848165823936,0.6477034143392242,0.7492385210769772
mvtec_chewinggum,150,0.938,0.9721886203685444,0.9285714285714285,0.9711589123053223,0.3772668603973218,0.7019579089989813
mvtec_fryum,150,0.8078,0.910612264501314,0.8340425531914895,0.913221518716818,0.4431866609506878,0.6074144931362443
mvtec_macaroni1,200,0.5874999999999999,0.5743591301613926,0.6779661016949152,0.8353337741090644,0.005675692428799318,0.5211677146872131
mvtec_macaroni2,200,0.6251000000000001,0.621146976969551,0.678082191780822,0.818803234429734,0.0026192432292205295,0.47370937100336696
mvtec_pcb1,200,0.78975,0.7892081778520854,0.75,0.9694047389560347,0.7741317086474107,0.5079619532858004
mvtec_pcb2,200,0.7503,0.7633026739849225,0.7333333333333333,0.9325356717313052,0.06265442022308018,0.6434982131997211
mvtec_pcb3,201,0.7469306930693069,0.7697526803413601,0.7047619047619048,0.939594605628371,0.3088509272044624,0.5954878466690692
mvtec_pcb4,201,0.9148514851485148,0.916873630121241,0.8490566037735849,0.9167161705788881,0.26808331646879024,0.5747948575708273
mvtec_pipe_fryum,150,0.8996,0.952473657307846,0.8854166666666666,0.9912134564944579,0.720682174501614,0.7762765317317638
