dataset,shot,n_units,median_retrieval_s,median_evaluation_s,median_total_s,note
btad,1,6,10.17199999999957,32.02350000000024,57.32800000000043,retrieval = exact 1-NN distance blocks for all constructions; evaluation = 448/588 map rebuild + stride-8 metrics; DUP_Bcopy shares a distance block and must not be read as a real second-encoder cost
btad,2,6,14.60949999999957,37.28949999999986,68.69549999999981,retrieval = exact 1-NN distance blocks for all constructions; evaluation = 448/588 map rebuild + stride-8 metrics; DUP_Bcopy shares a distance block and must not be read as a real second-encoder cost
btad,4,6,24.36750000000029,42.07000000000062,83.64850000000024,retrieval = exact 1-NN distance blocks for all constructions; evaluation = 448/588 map rebuild + stride-8 metrics; DUP_Bcopy shares a distance block and must not be read as a real second-encoder cost
btad,8,6,35.26549999999952,36.79650000000038,90.28099999999995,retrieval = exact 1-NN distance blocks for all constructions; evaluation = 448/588 map rebuild + stride-8 metrics; DUP_Bcopy shares a distance block and must not be read as a real second-encoder cost
mpdd,1,18,2.844000000000051,7.694999999999709,15.194999999999709,retrieval = exact 1-NN distance blocks for all constructions; evaluation = 448/588 map rebuild + stride-8 metrics; DUP_Bcopy shares a distance block and must not be read as a real second-encoder cost
mpdd,2,18,3.7030000000004293,7.632499999999709,16.0625,retrieval = exact 1-NN distance blocks for all constructions; evaluation = 448/588 map rebuild + stride-8 metrics; DUP_Bcopy shares a distance block and must not be read as a real second-encoder cost
mpdd,4,18,6.524000000000342,7.5625000000009095,18.81250000000091,retrieval = exact 1-NN distance blocks for all constructions; evaluation = 448/588 map rebuild + stride-8 metrics; DUP_Bcopy shares a distance block and must not be read as a real second-encoder cost
mpdd,8,18,10.617500000000291,7.593500000000859,22.92200000000048,retrieval = exact 1-NN distance blocks for all constructions; evaluation = 448/588 map rebuild + stride-8 metrics; DUP_Bcopy shares a distance block and must not be read as a real second-encoder cost
