branch,dataset,n_units_on_disk,n_units_in_report,total_seconds_reported,median_seconds_per_unit,note
B,btad,6,6,255.7,33.7,one-off cache build: reusable query block plus K=8 references; the first four references are copied from the historical cache and re-encoded once as a provenance check; timings come from the export reports of this batch
B,mpdd,18,18,216.2,12.2,one-off cache build: reusable query block plus K=8 references; the first four references are copied from the historical cache and re-encoded once as a provenance check; timings come from the export reports of this batch
C,btad,6,6,307.7,48.0,one-off cache build: reusable query block plus K=8 references; the first four references are copied from the historical cache and re-encoded once as a provenance check; timings come from the export reports of this batch
C,mpdd,18,18,324.8,18.2,one-off cache build: reusable query block plus K=8 references; the first four references are copied from the historical cache and re-encoded once as a provenance check; timings come from the export reports of this batch
S,btad,6,6,191.7,25.8,one-off cache build: reusable query block plus K=8 references; the first four references are copied from the historical cache and re-encoded once as a provenance check; timings come from the export reports of this batch
S,mpdd,18,6,71.6,12.3,one-off cache build: reusable query block plus K=8 references; the first four references are copied from the historical cache and re-encoded once as a provenance check; timings come from the export reports of this batch
