dataset,category,seed,shot,revision,status,new_method_conditions,control_conditions,load_s,score_s,sources
ksdd2,ksdd2,0,1,study,completed,5,4,57.03,14.11,B=fa38b4e5c5e41a20;C=6e320a64412118b5;D=ea6365252813b9a6
ksdd2,ksdd2,0,2,study,completed,5,4,56.08,14.83,B=fa38b4e5c5e41a20;C=6e320a64412118b5;D=ea6365252813b9a6
ksdd2,ksdd2,0,4,study,completed,5,4,56.09,17.43,B=fa38b4e5c5e41a20;C=6e320a64412118b5;D=ea6365252813b9a6
ksdd2,ksdd2,0,8,study,completed,5,4,55.71,21.5,B=fa38b4e5c5e41a20;C=6e320a64412118b5;D=ea6365252813b9a6
ksdd2,ksdd2,1,1,study,completed,5,4,55.54,14.14,B=8661781d824406cb;C=4642152ca1458224;D=ea6365252813b9a6
ksdd2,ksdd2,1,2,study,completed,5,4,55.78,15.11,B=8661781d824406cb;C=4642152ca1458224;D=ea6365252813b9a6
ksdd2,ksdd2,1,4,study,completed,5,4,55.63,17.88,B=8661781d824406cb;C=4642152ca1458224;D=ea6365252813b9a6
ksdd2,ksdd2,1,8,study,completed,5,4,55.98,21.35,B=8661781d824406cb;C=4642152ca1458224;D=ea6365252813b9a6
ksdd2,ksdd2,2,1,study,completed,5,4,55.73,14.08,B=f1ccd736a1152959;C=aecc7b20fdf176f5;D=ea6365252813b9a6
ksdd2,ksdd2,2,2,study,completed,5,4,56.73,15.29,B=f1ccd736a1152959;C=aecc7b20fdf176f5;D=ea6365252813b9a6
ksdd2,ksdd2,2,4,study,completed,5,4,56.16,17.73,B=f1ccd736a1152959;C=aecc7b20fdf176f5;D=ea6365252813b9a6
ksdd2,ksdd2,2,8,study,completed,5,4,55.89,21.64,B=f1ccd736a1152959;C=aecc7b20fdf176f5;D=ea6365252813b9a6
