dataset,evaluation_revision,metric,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,n_replicates,effect_scale,ci95_excludes_zero,ci9875_excludes_zero,reaches_effect_scale,family
ksdd2,study,pixel_ap,I_TRI_D: (TRI_D_L-DUP_L) - (TRI_D_J-DUP_J),12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.004992543594918815,0.005069633770762308,0.0021240143210780496,0.008508439196630042,0.0011310501494005251,0.009212563954309383,1000,0.005,True,True,True,new-D interactions (2 datasets x 2 contrasts)
ksdd2,study,pixel_ap,I_BAL_D: (BAL_D_L-A1_L) - (BAL_D_J-A1_J),12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0036660261572967015,0.0037194448534415034,0.0012793575999006388,0.0065325592721934425,0.0003056753733781671,0.007203599735911616,1000,0.005,True,True,False,new-D interactions (2 datasets x 2 contrasts)
