dataset,category,seed,shot,image_index,sample_id,mean_G_J_minus_L,per_image_pixel_ap_A1_L,per_image_pixel_ap_A1_J,per_image_pixel_ap_delta_L_minus_J
mpdd,bracket_black,0,4,32,bracket_black/test/hole/000.png,0.010642358101904392,0.4380718302614164,0.36065502904928626,0.07741680121213013
mpdd,bracket_black,0,4,33,bracket_black/test/hole/001.png,0.009877506643533707,0.2377662169943389,0.19820754734059065,0.03955866965374824
mpdd,bracket_black,0,4,34,bracket_black/test/hole/002.png,0.009294048883020878,0.0831892613676295,0.04917424523119071,0.034015016136438786
mpdd,bracket_black,0,4,35,bracket_black/test/hole/003.png,0.009544538334012032,0.02352937835393976,0.011371994855715562,0.012157383498224197
mpdd,bracket_black,0,4,36,bracket_black/test/hole/004.png,0.010174134746193886,0.002107821256757427,0.00180513820475695,0.00030268305200047705
mpdd,bracket_black,0,4,37,bracket_black/test/hole/005.png,0.010041694156825542,0.07027116402116401,0.0474991284067275,0.02277203561443651
mpdd,bracket_black,0,4,38,bracket_black/test/hole/006.png,0.010209166444838047,0.04009963442012124,0.0327286470143613,0.007370987405759935
mpdd,bracket_black,0,4,39,bracket_black/test/hole/007.png,0.010760283097624779,0.09169888934594818,0.08163654084706715,0.010062348498881032
mpdd,bracket_black,0,4,40,bracket_black/test/hole/008.png,0.010665463283658028,0.33333333333333337,0.3088235294117647,0.02450980392156865
mpdd,bracket_black,0,4,41,bracket_black/test/hole/009.png,0.010385693982243538,0.09077726518764254,0.09747323762128102,-0.006695972433638481
mpdd,bracket_black,0,4,42,bracket_black/test/hole/010.png,0.010575363412499428,0.33448275862068966,0.3217532467532468,0.012729511867442866
mpdd,bracket_black,0,4,43,bracket_black/test/hole/011.png,0.011247741058468819,0.26737179487179485,0.23826797385620913,0.02910382101558573
mpdd,bracket_black,0,4,44,bracket_black/test/scratches/000.png,0.011134793050587177,0.788095238095238,0.7583333333333333,0.029761904761904656
mpdd,bracket_black,0,4,45,bracket_black/test/scratches/001.png,0.01016116701066494,0.5675820707070707,0.56935945998446,-0.0017773892773893518
mpdd,bracket_black,0,4,46,bracket_black/test/scratches/002.png,0.010453674010932446,0.5821678321678322,0.6468864468864468,-0.06471861471861462
mpdd,bracket_black,0,4,47,bracket_black/test/scratches/003.png,0.011929308995604515,0.6359339190221543,0.6812770562770563,-0.04534313725490191
mpdd,bracket_black,0,4,48,bracket_black/test/scratches/004.png,0.010972380638122559,0.3359050671550672,0.3885975135975136,-0.05269244644244642
mpdd,bracket_black,0,4,49,bracket_black/test/scratches/005.png,0.010307949036359787,0.6174603174603175,0.6309000523286238,-0.013439734868306297
mpdd,bracket_black,0,4,50,bracket_black/test/scratches/006.png,0.010270848870277405,0.1111111111111111,0.125,-0.013888888888888895
mpdd,bracket_black,0,4,51,bracket_black/test/scratches/007.png,0.01000493299216032,0.5083333333333333,0.40761904761904755,0.10071428571428576
mpdd,bracket_black,0,4,52,bracket_black/test/scratches/008.png,0.009521393105387688,0.49025641025641026,0.5466666666666666,-0.056410256410256376
mpdd,bracket_black,0,4,53,bracket_black/test/scratches/009.png,0.009455956518650055,0.5801587301587301,0.607936507936508,-0.0277777777777779
mpdd,bracket_black,0,4,54,bracket_black/test/scratches/010.png,0.01029236987233162,0.38390804597701145,0.41411027568922304,-0.030202229712211592
mpdd,bracket_black,0,4,55,bracket_black/test/scratches/011.png,0.011854460462927818,0.7321428571428572,0.75,-0.017857142857142794
mpdd,bracket_black,0,4,56,bracket_black/test/scratches/012.png,0.013324923813343048,0.3611111111111111,0.3333333333333333,0.02777777777777779
mpdd,bracket_black,0,4,57,bracket_black/test/scratches/013.png,0.01292700320482254,0.7048611111111112,0.75,-0.04513888888888884
mpdd,bracket_black,0,4,58,bracket_black/test/scratches/014.png,0.01022542268037796,0.18738040843304,0.290263324327634,-0.10288291589459403
mpdd,bracket_black,0,4,59,bracket_black/test/scratches/015.png,0.009655548259615898,0.7164120642381512,0.7214946070878273,-0.0050825428496761305
mpdd,bracket_black,0,4,60,bracket_black/test/scratches/016.png,0.009010082110762596,0.7933333333333333,0.7869230769230771,0.0064102564102562765
mpdd,bracket_black,0,4,61,bracket_black/test/scratches/017.png,0.009487873874604702,0.7331326452599387,0.7285273688575575,0.004605276402381175
mpdd,bracket_black,0,4,62,bracket_black/test/scratches/018.png,0.009650368243455887,0.8134920634920635,0.7884920634920635,0.025000000000000022
mpdd,bracket_black,0,4,63,bracket_black/test/scratches/019.png,0.009417301043868065,0.9682539682539683,0.9571428571428571,0.011111111111111183
mpdd,bracket_black,0,4,64,bracket_black/test/scratches/020.png,0.009145405143499374,0.885,0.8766666666666667,0.008333333333333304
mpdd,bracket_black,0,4,65,bracket_black/test/scratches/021.png,0.009513800963759422,0.5819047619047619,0.5855913978494623,-0.0036866359447004227
mpdd,bracket_black,0,4,66,bracket_black/test/scratches/022.png,0.009591718204319477,0.7544444444444445,0.7861904761904762,-0.031746031746031744
mpdd,bracket_black,0,4,67,bracket_black/test/scratches/023.png,0.009256035089492798,0.8112044817927171,0.7777777777777778,0.0334267040149393
mpdd,bracket_black,0,4,68,bracket_black/test/scratches/024.png,0.009098954498767853,0.1625860885827291,0.17461589779597442,-0.012029809213245313
mpdd,bracket_black,0,4,69,bracket_black/test/scratches/025.png,0.009745735675096512,0.4273809523809524,0.4964985994397759,-0.0691176470588235
mpdd,bracket_black,0,4,70,bracket_black/test/scratches/026.png,0.009213474579155445,0.6512125902992776,0.6266784683975872,0.024534121901690353
mpdd,bracket_black,0,4,71,bracket_black/test/scratches/027.png,0.00989468116313219,0.1369949494949495,0.11024531024531024,0.02674963924963926
mpdd,bracket_black,0,4,72,bracket_black/test/scratches/028.png,0.009954829700291157,0.06704980842911877,0.07653743806877489,-0.009487629639656117
mpdd,bracket_black,0,4,73,bracket_black/test/scratches/029.png,0.01038726419210434,0.021622939100055805,0.02059422479982495,0.001028714300230854
mpdd,bracket_black,0,4,74,bracket_black/test/scratches/030.png,0.013700305484235287,0.17617724867724868,0.09788210656576474,0.07829514211148395
mpdd,bracket_black,0,4,75,bracket_black/test/scratches/031.png,0.011283259838819504,0.06797465796173965,0.060049991530417866,0.007924666431321788
mpdd,bracket_black,0,4,76,bracket_black/test/scratches/032.png,0.01097925566136837,0.2072870342089739,0.45624786122298555,-0.24896082701401165
mpdd,bracket_black,0,4,77,bracket_black/test/scratches/033.png,0.013523840345442295,0.445277257013388,0.237935835328126,0.20734142168526198
mpdd,bracket_black,0,4,78,bracket_black/test/scratches/034.png,0.01282714307308197,0.584126984126984,0.4174603174603174,0.16666666666666663
mpdd,bracket_brown,0,4,0,bracket_brown/test/bend_and_parts_mismatch/000.png,0.009222934022545815,0.2978184899659098,0.27892911289840766,0.018889377067502156
mpdd,bracket_brown,0,4,1,bracket_brown/test/bend_and_parts_mismatch/001.png,0.009533317759633064,0.11877047282232252,0.11817232245853666,0.0005981503637858543
mpdd,bracket_brown,0,4,2,bracket_brown/test/bend_and_parts_mismatch/002.png,0.008806613273918629,0.10052364730951144,0.09797587470479081,0.0025477726047206245
mpdd,bracket_brown,0,4,3,bracket_brown/test/bend_and_parts_mismatch/003.png,0.010105544701218605,0.11692878822095805,0.08666192159141138,0.030266866629546668
mpdd,bracket_brown,0,4,4,bracket_brown/test/bend_and_parts_mismatch/004.png,0.010034546256065369,0.13272053642173487,0.12562684057740126,0.007093695844333614
mpdd,bracket_brown,0,4,5,bracket_brown/test/bend_and_parts_mismatch/005.png,0.01077304407954216,0.088596301031813,0.07536242274924133,0.013233878282571665
mpdd,bracket_brown,0,4,6,bracket_brown/test/bend_and_parts_mismatch/006.png,0.010211683809757233,0.20908376925501804,0.18133205329029492,0.027751715964723117
mpdd,bracket_brown,0,4,7,bracket_brown/test/bend_and_parts_mismatch/007.png,0.009514473378658295,0.07369421868768886,0.06143280121060065,0.012261417477088206
mpdd,bracket_brown,0,4,8,bracket_brown/test/bend_and_parts_mismatch/008.png,0.009311061352491379,0.10721802399233177,0.10591338056147394,0.0013046434308578297
mpdd,bracket_brown,0,4,9,bracket_brown/test/bend_and_parts_mismatch/009.png,0.00995368231087923,0.09763906408903739,0.08858015821815404,0.009058905870883344
mpdd,bracket_brown,0,4,10,bracket_brown/test/bend_and_parts_mismatch/010.png,0.010215077549219131,0.1123885382904668,0.09889119476484462,0.01349734352562218
mpdd,bracket_brown,0,4,11,bracket_brown/test/bend_and_parts_mismatch/011.png,0.008643792942166328,0.3551388554262531,0.33026718481162626,0.024871670614626862
mpdd,bracket_brown,0,4,12,bracket_brown/test/bend_and_parts_mismatch/012.png,0.008666721172630787,0.20340977214695355,0.16002979502887088,0.04337997711808267
mpdd,bracket_brown,0,4,13,bracket_brown/test/bend_and_parts_mismatch/013.png,0.007867692038416862,0.6032814598499239,0.6124573971909417,-0.009175937341017848
mpdd,bracket_brown,0,4,14,bracket_brown/test/bend_and_parts_mismatch/014.png,0.008740445598959923,0.23935453828186495,0.2409511628976081,-0.0015966246157431419
mpdd,bracket_brown,0,4,15,bracket_brown/test/bend_and_parts_mismatch/015.png,0.00849512591958046,0.2589846587408972,0.23485922111093213,0.02412543762996508
mpdd,bracket_brown,0,4,16,bracket_brown/test/bend_and_parts_mismatch/016.png,0.008744960650801659,0.454643460919347,0.4359238212277296,0.018719639691617385
mpdd,bracket_brown,0,4,43,bracket_brown/test/parts_mismatch/000.png,0.008190194144845009,0.6555358550039401,0.5850694444444444,0.07046641055949565
mpdd,bracket_brown,0,4,44,bracket_brown/test/parts_mismatch/001.png,0.009141834452748299,0.925,0.8433333333333334,0.08166666666666667
mpdd,bracket_brown,0,4,45,bracket_brown/test/parts_mismatch/002.png,0.009061533957719803,0.011485172581429266,0.009841648973814579,0.001643523607614687
mpdd,bracket_brown,0,4,46,bracket_brown/test/parts_mismatch/003.png,0.00971270352602005,0.25,0.25,0.0
mpdd,bracket_brown,0,4,47,bracket_brown/test/parts_mismatch/004.png,0.009850493632256985,0.712121212121212,0.5990338164251208,0.11308739569609128
mpdd,bracket_brown,0,4,48,bracket_brown/test/parts_mismatch/005.png,0.009913051500916481,0.021893723645303682,0.024445698996854923,-0.002551975351551241
mpdd,bracket_brown,0,4,49,bracket_brown/test/parts_mismatch/006.png,0.010175169445574284,0.009933367286308462,0.018107772985821766,-0.008174405699513304
mpdd,bracket_brown,0,4,50,bracket_brown/test/parts_mismatch/007.png,0.008950755000114441,0.767816091954023,0.32446640316205533,0.4433496887919677
mpdd,bracket_brown,0,4,51,bracket_brown/test/parts_mismatch/008.png,0.009833818301558495,0.0642830340391316,0.030684148659463784,0.03359888537966782
mpdd,bracket_brown,0,4,52,bracket_brown/test/parts_mismatch/009.png,0.009285692125558853,0.025641799388054647,0.027322752779761456,-0.0016809533917068083
mpdd,bracket_brown,0,4,53,bracket_brown/test/parts_mismatch/010.png,0.010672240518033504,0.37506181590643456,0.21271564257378878,0.16234617333264578
mpdd,bracket_brown,0,4,54,bracket_brown/test/parts_mismatch/011.png,0.01220115926116705,0.2271261635967518,0.25739938080495356,-0.030273217208201753
mpdd,bracket_brown,0,4,55,bracket_brown/test/parts_mismatch/012.png,0.011424526572227478,0.024712898342011007,0.02427889833168119,0.0004340000103298172
mpdd,bracket_brown,0,4,56,bracket_brown/test/parts_mismatch/013.png,0.011623254045844078,0.27976300215033906,0.09366964318958299,0.18609335896075607
mpdd,bracket_brown,0,4,57,bracket_brown/test/parts_mismatch/014.png,0.008680961094796658,0.43708448255231885,0.28014226997295133,0.15694221257936752
mpdd,bracket_brown,0,4,58,bracket_brown/test/parts_mismatch/015.png,0.009075401350855827,0.19560170594995518,0.15886210159467423,0.03673960435528095
mpdd,bracket_brown,0,4,59,bracket_brown/test/parts_mismatch/016.png,0.008446885272860527,0.06485288875942832,0.059784698699796496,0.0050681900596318274
