figure,family,label,point_delta_raw,bootstrap_mean,ci_low,ci_high,ci_level,aggregation
fig2,weight_control,DUP_J - A1_J mpdd,-0.008024756226863267,-0.007516662269963568,-0.011497202830031167,-0.0035778504057781568,0.95,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
fig2,weight_control,DUP_L - A1_L mpdd,-0.010989301553620582,-0.010402333768572223,-0.014113705480297653,-0.006663123290430487,0.95,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
fig2,weight_control,DUP_J - A1_J btad,-0.00958804647482242,-0.009447664411323047,-0.013851237782443526,-0.00462377232068008,0.95,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
fig2,weight_control,DUP_L - A1_L btad,-0.012054104851346392,-0.011998590544523586,-0.016314705868117858,-0.007591733477299616,0.95,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
fig2,representation_swap,TRI_J - DUP_J mpdd,-0.002239295650100786,-0.002487697272572928,-0.009676672959746542,0.004779507732018213,0.95,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
fig2,representation_swap,TRI_L - DUP_L mpdd,0.0054818385649309615,0.005136664138227162,-0.0009174226111837295,0.01159868337515173,0.95,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
fig2,representation_swap,BAL_J - A1_J mpdd,-0.005101747879352257,-0.005187999992611087,-0.011345429959963522,0.0012305267702172552,0.95,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
fig2,representation_swap,BAL_L - A1_L mpdd,0.0008530423821506289,0.0009658876328689245,-0.004337402837593803,0.007082223901198041,0.95,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
fig2,representation_swap,TRI_J - DUP_J btad,0.015346262693690618,0.015540532604626442,0.006346798231615854,0.024461218510733046,0.95,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
fig2,representation_swap,TRI_L - DUP_L btad,0.014868301089907526,0.015343697129549876,0.0061685027691568035,0.02476783798569214,0.95,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
fig2,representation_swap,BAL_J - A1_J btad,0.009615188251306833,0.009893391351224816,0.0015637286645325303,0.01803233671232017,0.95,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
fig2,representation_swap,BAL_L - A1_L btad,0.008446361606240071,0.009020214178227627,0.0007606234527818415,0.017184510300409458,0.95,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
