group,dataset,seed,shot,method,stride1_macro_pixel_ap,stride1_macro_pixel_auroc,stride8_macro_pixel_ap,n_categories
controlled (this study),btad,0,1,A1_J,0.6209727790552885,0.9736943300774028,,3
controlled (this study),btad,0,1,A1_L,0.6302003637127722,0.9750262398407575,,3
controlled (this study),btad,0,1,B,0.5895296074871046,0.9704866819335273,,3
controlled (this study),btad,0,1,BAL_J,0.6375310071752363,0.9751761456696961,,3
controlled (this study),btad,0,1,BAL_L,0.6466435866120497,0.9767621764349882,,3
controlled (this study),btad,0,1,C,0.3749199501105338,0.9517661471391897,,3
controlled (this study),btad,0,1,DUP_J,0.6112713355080353,0.9725043167005238,,3
controlled (this study),btad,0,1,DUP_L,0.6179511275308517,0.9735873234514055,,3
controlled (this study),btad,0,1,S,0.5642583691097299,0.9653025554006242,,3
controlled (this study),btad,0,1,TRI_J,0.6344798314213969,0.9745395052849762,,3
controlled (this study),btad,0,1,TRI_L,0.6423941504161675,0.9759807758963025,,3
controlled (this study),btad,0,2,A1_J,0.6433943819373992,0.974725318925219,,3
controlled (this study),btad,0,2,A1_L,0.6540209910224993,0.9757050903395328,,3
controlled (this study),btad,0,2,B,0.6172914329771869,0.9718425037408251,,3
controlled (this study),btad,0,2,BAL_J,0.6489197530977249,0.9750005058422312,,3
controlled (this study),btad,0,2,BAL_L,0.6577501196548756,0.9760654778507707,,3
controlled (this study),btad,0,2,C,0.41534941823733007,0.9594696303197904,,3
controlled (this study),btad,0,2,DUP_J,0.6361487641156097,0.9736815816931824,,3
controlled (this study),btad,0,2,DUP_L,0.6429872650208535,0.9744376213452468,,3
controlled (this study),btad,0,2,S,0.550963554205237,0.9578544092426821,,3
controlled (this study),btad,0,2,TRI_J,0.6461850466990029,0.9740471120004153,,3
controlled (this study),btad,0,2,TRI_L,0.6520696859640792,0.9749425956060126,,3
controlled (this study),btad,0,4,A1_J,0.6516955477516769,0.9750668221772032,,3
controlled (this study),btad,0,4,A1_L,0.6628246840695663,0.9759652478467128,,3
controlled (this study),btad,0,4,B,0.6269786519904318,0.9722563673122643,,3
controlled (this study),btad,0,4,BAL_J,0.6566440410560205,0.9756266933779972,,3
controlled (this study),btad,0,4,BAL_L,0.6646313130412692,0.9763920136790856,,3
controlled (this study),btad,0,4,C,0.44237264298635276,0.9605908373247409,,3
