group,dataset,seed,shot,method,stride1_macro_pixel_ap,stride1_macro_pixel_auroc,stride8_macro_pixel_ap,n_categories
controlled (this study),btad,0,4,DUP_J,0.644467161923322,0.974053786252222,,3
controlled (this study),btad,0,4,DUP_L,0.6516207198275928,0.9747579476869731,,3
controlled (this study),btad,0,4,S,0.5590938009260481,0.9608840520942263,,3
controlled (this study),btad,0,4,TRI_J,0.6544242147830086,0.974802249295203,,3
controlled (this study),btad,0,4,TRI_L,0.6584661096898501,0.9753969813462793,,3
controlled (this study),btad,0,8,A1_J,0.6633911800090332,0.9765389549853917,,3
controlled (this study),btad,0,8,A1_L,0.6722204054525047,0.9772640809873484,,3
controlled (this study),btad,0,8,B,0.6391727966558752,0.9743528339215249,,3
controlled (this study),btad,0,8,BAL_J,0.6667807045499106,0.9768753194578123,,3
controlled (this study),btad,0,8,BAL_L,0.6725907163633508,0.9774829459878331,,3
controlled (this study),btad,0,8,C,0.4855843730121445,0.961539332696931,,3
controlled (this study),btad,0,8,DUP_J,0.6550999587264058,0.9757831392970234,,3
controlled (this study),btad,0,8,DUP_L,0.6615047316398589,0.9763582081568597,,3
controlled (this study),btad,0,8,S,0.5741811649800562,0.9658575402611079,,3
controlled (this study),btad,0,8,TRI_J,0.6629042174748709,0.9763432370437064,,3
controlled (this study),btad,0,8,TRI_L,0.6667669484051526,0.9768662908289127,,3
controlled (this study),btad,1,1,A1_J,0.6340069347195748,0.9739976940297943,,3
controlled (this study),btad,1,1,A1_L,0.6422963195688194,0.9750022550085354,,3
controlled (this study),btad,1,1,B,0.6026222317931156,0.9707365249197477,,3
controlled (this study),btad,1,1,BAL_J,0.6429541260480578,0.9754397069217977,,3
controlled (this study),btad,1,1,BAL_L,0.6528906395304372,0.9765532008726964,,3
controlled (this study),btad,1,1,C,0.3806471034649285,0.9465162843675431,,3
controlled (this study),btad,1,1,DUP_J,0.6235288306043462,0.9728652034908792,,3
controlled (this study),btad,1,1,DUP_L,0.6294770210995001,0.9736747317780283,,3
controlled (this study),btad,1,1,S,0.5587904271032887,0.9656821476354575,,3
controlled (this study),btad,1,1,TRI_J,0.6382877266148306,0.9748503258431912,,3
controlled (this study),btad,1,1,TRI_L,0.646888966324666,0.975865339003623,,3
controlled (this study),btad,1,2,A1_J,0.6470917331558189,0.9752862483276656,,3
controlled (this study),btad,1,2,A1_L,0.6547095185085094,0.9761240260945065,,3
controlled (this study),btad,1,2,B,0.6148611264282159,0.972229009561208,,3
controlled (this study),btad,1,2,BAL_J,0.6551524338979019,0.9764173257261549,,3
controlled (this study),btad,1,2,BAL_L,0.6640168594975525,0.9774387013927238,,3
controlled (this study),btad,1,2,C,0.39188449414152565,0.9563479848636662,,3
controlled (this study),btad,1,2,DUP_J,0.6359570771152824,0.9742119671690078,,3
controlled (this study),btad,1,2,DUP_L,0.6415722412657338,0.9749167058134788,,3
controlled (this study),btad,1,2,S,0.5722038691455092,0.9672160967727373,,3
controlled (this study),btad,1,2,TRI_J,0.6504790387078293,0.9758536277236347,,3
controlled (this study),btad,1,2,TRI_L,0.6583054630054356,0.9768148197454073,,3
controlled (this study),btad,1,4,A1_J,0.649137203513586,0.9760233665292226,,3
controlled (this study),btad,1,4,A1_L,0.6555846922227154,0.9766851968912039,,3
controlled (this study),btad,1,4,B,0.6161585043754717,0.9731951486479136,,3
controlled (this study),btad,1,4,BAL_J,0.6631786018204493,0.97734700998109,,3
controlled (this study),btad,1,4,BAL_L,0.6681954087961922,0.9779407833554394,,3
controlled (this study),btad,1,4,C,0.40065898318381926,0.9568823340256553,,3
controlled (this study),btad,1,4,DUP_J,0.6383402716596046,0.9750622083980836,,3
controlled (this study),btad,1,4,DUP_L,0.6426095089235272,0.9756105253178328,,3
controlled (this study),btad,1,4,S,0.5832515467587291,0.9688956439577794,,3
controlled (this study),btad,1,4,TRI_J,0.6590173133333879,0.9768419380243079,,3
controlled (this study),btad,1,4,TRI_L,0.6627786412894764,0.9774121235853116,,3
controlled (this study),btad,1,8,A1_J,0.6568296257824167,0.9764843753063178,,3
controlled (this study),btad,1,8,A1_L,0.6607887604337029,0.9769736334432754,,3
controlled (this study),btad,1,8,B,0.6225164108723692,0.9738301339393541,,3
controlled (this study),btad,1,8,BAL_J,0.668938736073733,0.9774062597549494,,3
controlled (this study),btad,1,8,BAL_L,0.6703092758824966,0.977813424859118,,3
controlled (this study),btad,1,8,C,0.4721134665518076,0.9612019836663898,,3
controlled (this study),btad,1,8,DUP_J,0.6444823203265404,0.9755533939311499,,3
controlled (this study),btad,1,8,DUP_L,0.6474648610473145,0.9759630218817382,,3
controlled (this study),btad,1,8,S,0.5825710038076485,0.9677751883593922,,3
controlled (this study),btad,1,8,TRI_J,0.663008898896493,0.9768176194732199,,3
controlled (this study),btad,1,8,TRI_L,0.6634373690275983,0.9771750736998924,,3
controlled (this study),mpdd,0,1,A1_J,0.31440996738097865,0.9587745522460347,,6
controlled (this study),mpdd,0,1,A1_L,0.31934009466031105,0.9615449453179332,,6
controlled (this study),mpdd,0,1,B,0.2815914125662486,0.9499778078088955,,6
controlled (this study),mpdd,0,1,BAL_J,0.3158939706592757,0.9609361434693313,,6
controlled (this study),mpdd,0,1,BAL_L,0.3254426406531166,0.9646965455863373,,6
controlled (this study),mpdd,0,1,C,0.2625060749191644,0.9557771412447345,,6
controlled (this study),mpdd,0,1,DUP_J,0.30096012781247355,0.9557656026150384,,6
controlled (this study),mpdd,0,1,DUP_L,0.30416460965888703,0.9576743453866783,,6
controlled (this study),mpdd,0,1,S,0.27614138338016286,0.956623131573623,,6
controlled (this study),mpdd,0,1,TRI_J,0.30693526583908426,0.9587945398243033,,6
controlled (this study),mpdd,0,1,TRI_L,0.3153598506865795,0.9623001933770811,,6
controlled (this study),mpdd,0,2,A1_J,0.3484561528193586,0.9630634154820874,,6
controlled (this study),mpdd,0,2,A1_L,0.354434360035118,0.9653136130875013,,6
controlled (this study),mpdd,0,2,B,0.3176358386022727,0.9509959295833542,,6
controlled (this study),mpdd,0,2,BAL_J,0.34001815966246934,0.9653318301448555,,6
controlled (this study),mpdd,0,2,BAL_L,0.35183231268597986,0.9688858826853545,,6
controlled (this study),mpdd,0,2,C,0.274357609394213,0.9613869657477642,,6
controlled (this study),mpdd,0,2,DUP_J,0.3379067346666349,0.9592216688770797,,6
controlled (this study),mpdd,0,2,DUP_L,0.34013268776849886,0.9606475993101302,,6
controlled (this study),mpdd,0,2,S,0.30047316593041823,0.9598002148467034,,6
controlled (this study),mpdd,0,2,TRI_J,0.3348692803174828,0.9626166693836794,,6
controlled (this study),mpdd,0,2,TRI_L,0.345164831433514,0.9661332773395025,,6
controlled (this study),mpdd,0,4,A1_J,0.38699362568098966,0.9694988118456128,,6
controlled (this study),mpdd,0,4,A1_L,0.39459767175176846,0.972894518476941,,6
controlled (this study),mpdd,0,4,B,0.36015586464265015,0.9601428405606344,,6
controlled (this study),mpdd,0,4,BAL_J,0.3737962807788197,0.9720313829885519,,6
controlled (this study),mpdd,0,4,BAL_L,0.38562857502629005,0.9767649081369263,,6
controlled (this study),mpdd,0,4,C,0.2852315891732151,0.9695351491860125,,6
controlled (this study),mpdd,0,4,DUP_J,0.3781054707218033,0.9663464575554778,,6
controlled (this study),mpdd,0,4,DUP_L,0.3827370358337809,0.9686768126767532,,6
controlled (this study),mpdd,0,4,S,0.31936000912694,0.9693639642649824,,6
controlled (this study),mpdd,0,4,TRI_J,0.3665574046637086,0.9700015238642724,,6
controlled (this study),mpdd,0,4,TRI_L,0.3801371787031543,0.9744228168328318,,6
controlled (this study),mpdd,0,8,A1_J,0.4249960029639548,0.9754845181330603,,6
controlled (this study),mpdd,0,8,A1_L,0.43243237754897046,0.9789683040083376,,6
controlled (this study),mpdd,0,8,B,0.40527511538324806,0.9689764585099669,,6
controlled (this study),mpdd,0,8,BAL_J,0.4150911965801421,0.977035369255942,,6
controlled (this study),mpdd,0,8,BAL_L,0.42990104028962994,0.9814198778627405,,6
controlled (this study),mpdd,0,8,C,0.3069817849675123,0.9710767382378968,,6
controlled (this study),mpdd,0,8,DUP_J,0.4178551685900369,0.9735249995906222,,6
controlled (this study),mpdd,0,8,DUP_L,0.42315644955900594,0.9758785844349683,,6
controlled (this study),mpdd,0,8,S,0.37020872593607224,0.9745192379252802,,6
controlled (this study),mpdd,0,8,TRI_J,0.4114083990458231,0.9758361496234534,,6
controlled (this study),mpdd,0,8,TRI_L,0.42567051996781397,0.9798628280418473,,6
controlled (this study),mpdd,1,1,A1_J,0.34167157876706017,0.963179433543721,,6
controlled (this study),mpdd,1,1,A1_L,0.34821213860868006,0.9658244511728963,,6
controlled (this study),mpdd,1,1,B,0.3265569322478777,0.9522221312621425,,6
controlled (this study),mpdd,1,1,BAL_J,0.3375655207922031,0.9652565845344613,,6
controlled (this study),mpdd,1,1,BAL_L,0.3484524256359082,0.9692180689081127,,6
controlled (this study),mpdd,1,1,C,0.2627237514083491,0.958780026550707,,6
controlled (this study),mpdd,1,1,DUP_J,0.33473662352272643,0.9594998259400397,,6
controlled (this study),mpdd,1,1,DUP_L,0.3398468063306978,0.9613095753224399,,6
controlled (this study),mpdd,1,1,S,0.3005668776877162,0.9569953421911005,,6
controlled (this study),mpdd,1,1,TRI_J,0.3321364020476137,0.9623048820319485,,6
controlled (this study),mpdd,1,1,TRI_L,0.34197156456690053,0.9661219064535898,,6
controlled (this study),mpdd,1,2,A1_J,0.36526468358465336,0.9634342730346139,,6
controlled (this study),mpdd,1,2,A1_L,0.37194587960426845,0.9671215950980682,,6
controlled (this study),mpdd,1,2,B,0.3356018478467668,0.9530845645971163,,6
controlled (this study),mpdd,1,2,BAL_J,0.35535530515945485,0.9659759852825286,,6
controlled (this study),mpdd,1,2,BAL_L,0.36692519567050735,0.9707239386764909,,6
controlled (this study),mpdd,1,2,C,0.2751507689552118,0.9647482818550087,,6
controlled (this study),mpdd,1,2,DUP_J,0.356679248521854,0.9597429855252603,,6
controlled (this study),mpdd,1,2,DUP_L,0.3606761421418044,0.9623988253802502,,6
controlled (this study),mpdd,1,2,S,0.3050679724870015,0.9595391114189308,,6
controlled (this study),mpdd,1,2,TRI_J,0.3490857916796539,0.963146181163797,,6
controlled (this study),mpdd,1,2,TRI_L,0.3594725813689456,0.967563596346595,,6
controlled (this study),mpdd,1,4,A1_J,0.4058513415747375,0.9716520086542376,,6
controlled (this study),mpdd,1,4,A1_L,0.41260997827835255,0.9750964339932269,,6
controlled (this study),mpdd,1,4,B,0.3645852562616329,0.9632803584030989,,6
controlled (this study),mpdd,1,4,BAL_J,0.39294847362886326,0.972557643772393,,6
controlled (this study),mpdd,1,4,BAL_L,0.41129514353545876,0.9776679670374459,,6
controlled (this study),mpdd,1,4,C,0.28324279751920783,0.9696102092843674,,6
controlled (this study),mpdd,1,4,DUP_J,0.39030291920216015,0.9689616941904492,,6
controlled (this study),mpdd,1,4,DUP_L,0.3947348453566169,0.9713077287291916,,6
controlled (this study),mpdd,1,4,S,0.3400940215192047,0.9678700602531367,,6
controlled (this study),mpdd,1,4,TRI_J,0.38637967317579464,0.9706751642254757,,6
controlled (this study),mpdd,1,4,TRI_L,0.40266356603458187,0.9753727189478445,,6
controlled (this study),mpdd,1,8,A1_J,0.43197222653941264,0.9756778183054681,,6
controlled (this study),mpdd,1,8,A1_L,0.43896637688357537,0.9790081884150955,,6
controlled (this study),mpdd,1,8,B,0.4038021085285741,0.9679582041414377,,6
controlled (this study),mpdd,1,8,BAL_J,0.424917730073986,0.9769631353343627,,6
controlled (this study),mpdd,1,8,BAL_L,0.43919699639283877,0.9817458889567677,,6
controlled (this study),mpdd,1,8,C,0.30702766797941855,0.9728702029641113,,6
controlled (this study),mpdd,1,8,DUP_J,0.42470723629281687,0.9731610824312673,,6
controlled (this study),mpdd,1,8,DUP_L,0.4278124047683259,0.9755089186306182,,6
controlled (this study),mpdd,1,8,S,0.37160498603061914,0.9731089536681407,,6
controlled (this study),mpdd,1,8,TRI_J,0.41826090959087314,0.9753223324193413,,6
controlled (this study),mpdd,1,8,TRI_L,0.43189175203627034,0.9797099739512127,,6
controlled (this study),mpdd,2,1,A1_J,0.3172252769780386,0.9514640662453875,,6
controlled (this study),mpdd,2,1,A1_L,0.32390472725017294,0.9548348413830662,,6
controlled (this study),mpdd,2,1,B,0.28717604244720274,0.9392262903859722,,6
controlled (this study),mpdd,2,1,BAL_J,0.314749951276544,0.9563532233051969,,6
controlled (this study),mpdd,2,1,BAL_L,0.3225616262008327,0.96073888228584,,6
controlled (this study),mpdd,2,1,C,0.2654168943116655,0.9546577330574365,,6
controlled (this study),mpdd,2,1,DUP_J,0.30559176506489516,0.946863040120259,,6
controlled (this study),mpdd,2,1,DUP_L,0.3104968973966081,0.9493981915269564,,6
controlled (this study),mpdd,2,1,S,0.27195292874069965,0.9538412016233062,,6
controlled (this study),mpdd,2,1,TRI_J,0.30294256726261565,0.9532034800779937,,6
controlled (this study),mpdd,2,1,TRI_L,0.31083369403828254,0.9575902879142318,,6
controlled (this study),mpdd,2,2,A1_J,0.3455603943491841,0.9618459087171005,,6
controlled (this study),mpdd,2,2,A1_L,0.3507670545563982,0.9653651366305205,,6
controlled (this study),mpdd,2,2,B,0.30738054316247965,0.9505419370902342,,6
controlled (this study),mpdd,2,2,BAL_J,0.3369540475977802,0.9648307136037291,,6
controlled (this study),mpdd,2,2,BAL_L,0.3481536879916889,0.9697440929976109,,6
controlled (this study),mpdd,2,2,C,0.27834568906253226,0.9620959202578413,,6
controlled (this study),mpdd,2,2,DUP_J,0.32947186208357854,0.9577493324698644,,6
controlled (this study),mpdd,2,2,DUP_L,0.3323057782853076,0.9604035118753118,,6
controlled (this study),mpdd,2,2,S,0.28215795268320354,0.96032206769282,,6
controlled (this study),mpdd,2,2,TRI_J,0.32033692784601003,0.9618830949185974,,6
controlled (this study),mpdd,2,2,TRI_L,0.3312624373109684,0.9667625009851387,,6
controlled (this study),mpdd,2,4,A1_J,0.41281388125147167,0.971936302209791,,6
controlled (this study),mpdd,2,4,A1_L,0.42005053941598397,0.9754987926296037,,6
controlled (this study),mpdd,2,4,B,0.3767265524928818,0.9637412175873444,,6
controlled (this study),mpdd,2,4,BAL_J,0.40395105757672356,0.9738408579291553,,6
controlled (this study),mpdd,2,4,BAL_L,0.4180572566337611,0.9784693292965082,,6
controlled (this study),mpdd,2,4,C,0.30028830717707916,0.9700211776704072,,6
controlled (this study),mpdd,2,4,DUP_J,0.4010245208933488,0.9691414715876814,,6
controlled (this study),mpdd,2,4,DUP_L,0.40500481642675196,0.9717266108554745,,6
controlled (this study),mpdd,2,4,S,0.3378450263661668,0.9695819819616363,,6
controlled (this study),mpdd,2,4,TRI_J,0.39620279445068834,0.9717474767999282,,6
controlled (this study),mpdd,2,4,TRI_L,0.4103499783040514,0.9762914972247291,,6
controlled (this study),mpdd,2,8,A1_J,0.42744176487736896,0.9756842295378255,,6
controlled (this study),mpdd,2,8,A1_L,0.4365618288030227,0.9787540910604741,,6
controlled (this study),mpdd,2,8,B,0.40412440120651255,0.9688391903362671,,6
controlled (this study),mpdd,2,8,BAL_J,0.4214899633757146,0.9776108778543988,,6
controlled (this study),mpdd,2,8,BAL_L,0.43859891618000063,0.9817822581527059,,6
controlled (this study),mpdd,2,8,C,0.3030556526206349,0.9718878437401695,,6
controlled (this study),mpdd,2,8,DUP_J,0.4213847135327664,0.973514764743217,,6
controlled (this study),mpdd,2,8,DUP_L,0.4254430417346656,0.9756176410783549,,6
controlled (this study),mpdd,2,8,S,0.37529780524928896,0.9743508995605437,,6
controlled (this study),mpdd,2,8,TRI_J,0.4163810909023132,0.9760712641690542,,6
controlled (this study),mpdd,2,8,TRI_L,0.42894155655244964,0.9800122146516362,,6
reused native reference,mpdd,0,2,official_native_B,,,0.3156103229917389,6
reused native reference,mpdd,0,4,official_native_B,,,0.3619827699718394,6
reused native reference,mpdd,0,2,official_native_S,,,0.302728579754017,6
reused native reference,mpdd,0,4,official_native_S,,,0.3287058312370624,6
reused baseline reference,mvtec,,,AdaptCLIP,,,,
reused baseline reference,mvtec,,,AnomalyCLIP (zs),,,,
reused baseline reference,mvtec,,,AnomalyDINO,,,,
reused baseline reference,visa,,,AnomalyDINO,,,,
reused baseline reference,mvtec,,,PatchCore,,,,
reused baseline reference,visa,,,PatchCore,,,,
reused baseline reference,mvtec,,,PromptAD,,,,
reused baseline reference,visa,,,PromptAD,,,,
reused baseline reference,mvtec,,,ReMP-AD,,,,
reused baseline reference,mvtec,,,SubspaceAD,,,,
reused baseline reference,visa,,,SubspaceAD,,,,
reused baseline reference,mvtec,,,WinCLIP+,,,,
reused baseline reference,visa,,,WinCLIP+,,,,
