dataset,evaluation_revision,metric,comparison,n_conditions,conditions,s_interaction_mean,s_ci95_low,s_ci95_high,d_interaction_mean,d_ci95_low,d_ci95_high,difference_mean,difference_ci95_low,difference_ci95_high,difference_ci9875_low,difference_ci9875_high,difference_ci95_excludes_zero,difference_ci9875_excludes_zero,stride1_s_point,stride1_d_point,stride1_difference_point,stride1_scope,missing_conditions,pairing
mpdd,study,pixel_ap,I_TRI_D - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.006948775004053959,0.002759775251851938,0.010637102413284616,0.01020447401959265,0.006015345919860121,0.014717621006207427,0.00325569901553869,-0.001928553579893591,0.00933531101405887,-0.002964437152950343,0.011183909973609896,False,False,0.007686314586048945,0.010326134527503389,0.0026398199414544438,s0k1;s0k4;s1k1;s1k4,,"both series come from the same replicate stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision as D"
mpdd,study,pixel_ap,I_BAL_D - I_BAL,4,s0k1;s0k4;s1k1;s1k4,0.00546955397656201,0.0017951486799582471,0.008630474697418327,0.0068585612151054855,0.0027875161330798647,0.012182193036272257,0.0013890072385434747,-0.002764388244653583,0.0065024637352281995,-0.003720766207940008,0.00805543985422599,False,False,0.006195292274066441,0.006944750441953543,0.0007494581678871015,s0k1;s0k4;s1k1;s1k4,,"both series come from the same replicate stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision as D"
btad,corrected,pixel_ap,I_TRI_D - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.00028696155145998924,-0.001559955779887624,0.002391334726482933,0.006314626223621986,0.003733548562649305,0.009174510029621111,0.006027664672161995,0.0032594584821576964,0.008756405067387429,0.0025534246245762096,0.009449898315319479,True,True,7.784362300863878e-05,0.006236800588334285,0.006158956965325646,s0k1;s0k4;s1k1;s1k4,,"both series come from the same replicate stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision as D"
btad,corrected,pixel_ap,I_BAL_D - I_BAL,4,s0k1;s0k4;s1k1;s1k4,-0.0005209421825373564,-0.002313427977669937,0.0015438016616149903,0.005238034469989172,0.0023877728208764877,0.008827992083292229,0.005758976652526528,0.002754522486717146,0.009491223892092995,0.0020392104493736855,0.010598353266804063,True,True,-0.0007947231185829184,0.004956309028102457,0.005751032146685375,s0k1;s0k4;s1k1;s1k4,,"both series come from the same replicate stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision as D"
