dataset,category,seed,shot,revision,status,new_method_conditions,control_conditions,load_s,score_s,sources
mpdd,bracket_black,0,1,study,completed,5,4,5.8,1.66,B=803c993844b8bfa1;C=9e8114aaaeee70f2;D=226972334a124947
mpdd,bracket_black,0,4,study,completed,5,4,5.56,2.03,B=803c993844b8bfa1;C=9e8114aaaeee70f2;D=226972334a124947
mpdd,bracket_black,1,1,study,completed,5,4,5.54,1.61,B=0091f3ffcd573db6;C=17cc9d26857e5a3c;D=226972334a124947
mpdd,bracket_black,1,4,study,completed,5,4,5.52,2.1,B=0091f3ffcd573db6;C=17cc9d26857e5a3c;D=226972334a124947
mpdd,bracket_brown,0,1,study,completed,5,4,5.44,1.61,B=79c3a8a179435ebb;C=b516eca30df8b8e3;D=77ded2b955e580ac
mpdd,bracket_brown,0,4,study,completed,5,4,5.5,2.08,B=79c3a8a179435ebb;C=b516eca30df8b8e3;D=77ded2b955e580ac
mpdd,bracket_brown,1,1,study,completed,5,4,5.56,1.59,B=e819e2a724ba986c;C=58639827fa6a7d59;D=77ded2b955e580ac
mpdd,bracket_brown,1,4,study,completed,5,4,5.44,2.05,B=e819e2a724ba986c;C=58639827fa6a7d59;D=77ded2b955e580ac
mpdd,bracket_white,0,1,study,completed,5,4,4.37,1.25,B=e66e9aee8114b22c;C=c7193890b1e2903c;D=e4b34dbc26a93875
mpdd,bracket_white,0,4,study,completed,5,4,4.38,1.6,B=e66e9aee8114b22c;C=c7193890b1e2903c;D=e4b34dbc26a93875
mpdd,bracket_white,1,1,study,completed,5,4,4.39,1.24,B=9b415bcf84a06325;C=92dcff692cfd044e;D=e4b34dbc26a93875
mpdd,bracket_white,1,4,study,completed,5,4,4.41,1.58,B=9b415bcf84a06325;C=92dcff692cfd044e;D=e4b34dbc26a93875
mpdd,connector,0,1,study,completed,5,4,3.48,0.92,B=1874820a9f5207cd;C=630068b6a3316358;D=6a6eb0b0dcfe838d
mpdd,connector,0,4,study,completed,5,4,3.41,1.18,B=1874820a9f5207cd;C=630068b6a3316358;D=6a6eb0b0dcfe838d
mpdd,connector,1,1,study,completed,5,4,3.37,0.94,B=a44638867e8a38d2;C=0f5bfc0f52ee5e2a;D=6a6eb0b0dcfe838d
mpdd,connector,1,4,study,completed,5,4,3.37,1.19,B=a44638867e8a38d2;C=0f5bfc0f52ee5e2a;D=6a6eb0b0dcfe838d
mpdd,metal_plate,0,1,study,completed,5,4,6.77,2.03,B=830334b2fae2a6be;C=728f873093a039f3;D=4e368fdb81d0fefd
mpdd,metal_plate,0,4,study,completed,5,4,6.75,2.58,B=830334b2fae2a6be;C=728f873093a039f3;D=4e368fdb81d0fefd
mpdd,metal_plate,1,1,study,completed,5,4,6.72,2.06,B=9eec5077e8f515de;C=7d1f75f1febc1dda;D=4e368fdb81d0fefd
mpdd,metal_plate,1,4,study,completed,5,4,6.7,2.6,B=9eec5077e8f515de;C=7d1f75f1febc1dda;D=4e368fdb81d0fefd
mpdd,tubes,0,1,study,completed,5,4,7.03,2.11,B=a85c96514c79e389;C=05764503a41771b7;D=d0afb928118bebc1
