dataset,encoder,interaction,evaluation_revision,n_conditions,bootstrap_mean,ci95_low,ci95_high,scope
mpdd,S (DINOv2-S),I_TRI,study,4,0.006948775004053959,0.002759775251851938,0.010637102413284616,seed 0/1 x K 1/4 (restricted to match the D scope)
mpdd,S (DINOv2-S),I_BAL,study,4,0.00546955397656201,0.0017951486799582471,0.008630474697418327,seed 0/1 x K 1/4 (restricted to match the D scope)
btad,S (DINOv2-S),I_TRI,study,4,0.0002996559401268282,-0.001506714640478173,0.0024965564785359635,seed 0/1 x K 1/4 (restricted to match the D scope)
btad,S (DINOv2-S),I_BAL,study,4,-0.0004894066629093512,-0.0023309038104026548,0.0016625338239650914,seed 0/1 x K 1/4 (restricted to match the D scope)
mpdd,D (WideResNet50-2),I_TRI_D,study,4,0.01020447401959265,0.006015345919860121,0.014717621006207427,seed 0/1 x K 1/4
mpdd,D (WideResNet50-2),I_BAL_D,study,4,0.0068585612151054855,0.0027875161330798647,0.012182193036272257,seed 0/1 x K 1/4
btad,D (WideResNet50-2),I_TRI_D,corrected,4,0.006314626223621986,0.003733548562649305,0.009174510029621111,seed 0/1 x K 1/4
btad,D (WideResNet50-2),I_BAL_D,corrected,4,0.005238034469989172,0.0023877728208764877,0.008827992083292229,seed 0/1 x K 1/4
btad,D (WideResNet50-2),I_TRI_D,study,4,0.006143214383027379,0.0035150760097699845,0.009108388081327214,seed 0/1 x K 1/4
btad,D (WideResNet50-2),I_BAL_D,study,4,0.004704138243089523,0.001939351124227453,0.007907603806526642,seed 0/1 x K 1/4
