dataset,evaluation_revision,metric,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,n_replicates,effect_scale,ci95_excludes_zero,ci9875_excludes_zero,reaches_effect_scale,family,point_source
mpdd,study,pixel_ap,I_TRI_D: (TRI_D_L-DUP_L) - (TRI_D_J-DUP_J),4,s0k1;s0k4;s1k1;s1k4,0.009736654303729997,0.01020447401959265,0.006015345919860121,0.014717621006207427,0.005136088501626534,0.016887566757780373,1000,0.005,True,True,True,new-D interactions (2 datasets x 2 contrasts),recomputed from new_method_metrics.csv with the S1 condition-average definition
mpdd,study,pixel_ap,I_BAL_D: (BAL_D_L-A1_L) - (BAL_D_J-A1_J),4,s0k1;s0k4;s1k1;s1k4,0.006284159533464229,0.0068585612151054855,0.0027875161330798647,0.012182193036272257,0.001623819026713348,0.013944361088120893,1000,0.005,True,True,True,new-D interactions (2 datasets x 2 contrasts),recomputed from new_method_metrics.csv with the S1 condition-average definition
btad,corrected,pixel_ap,I_TRI_D: (TRI_D_L-DUP_L) - (TRI_D_J-DUP_J),4,s0k1;s0k4;s1k1;s1k4,0.0062192514187020265,0.006314626223621986,0.003733548562649305,0.009174510029621111,0.0029813446669314804,0.01002763316638257,1000,0.005,True,True,True,new-D interactions (2 datasets x 2 contrasts),recomputed from new_method_metrics.csv with the S1 condition-average definition
btad,corrected,pixel_ap,I_BAL_D: (BAL_D_L-A1_L) - (BAL_D_J-A1_J),4,s0k1;s0k4;s1k1;s1k4,0.005012147241435255,0.005238034469989172,0.0023877728208764877,0.008827992083292229,0.0018828184352207371,0.009948754123030312,1000,0.005,True,True,True,new-D interactions (2 datasets x 2 contrasts),recomputed from new_method_metrics.csv with the S1 condition-average definition
btad,study,pixel_ap,I_TRI_D: (TRI_D_L-DUP_L) - (TRI_D_J-DUP_J),4,s0k1;s0k4;s1k1;s1k4,0.006042209414347438,0.006143214383027379,0.0035150760097699845,0.009108388081327214,0.00278004507518117,0.009849167288628386,1000,0.005,True,True,True,new-D interactions (2 datasets x 2 contrasts),recomputed from new_method_metrics.csv with the S1 condition-average definition
btad,study,pixel_ap,I_BAL_D: (BAL_D_L-A1_L) - (BAL_D_J-A1_J),4,s0k1;s0k4;s1k1;s1k4,0.004511515937853761,0.004704138243089523,0.001939351124227453,0.007907603806526642,0.0013848293600345256,0.009210358051763448,1000,0.005,True,True,False,new-D interactions (2 datasets x 2 contrasts),recomputed from new_method_metrics.csv with the S1 condition-average definition
