dataset,revision,seed,shot,category,method,stride,pixel_ap,pixel_auroc
btad,corrected,0,1,01,D,1,0.21169578285722637,0.909257029517975
btad,corrected,0,1,01,A1_J,1,0.5837045298216096,0.9632729875439204
btad,corrected,0,1,01,A1_L,1,0.5953971085379265,0.9660974297476094
btad,corrected,0,1,01,DUP_J,1,0.572614118241308,0.961190145876654
btad,corrected,0,1,01,DUP_L,1,0.58097807176388,0.963411568979897
btad,corrected,0,1,01,TRI_D_J,1,0.5220678374617416,0.9569444244833615
btad,corrected,0,1,01,TRI_D_L,1,0.5387212150202717,0.9610842736753753
btad,corrected,0,1,01,BAL_D_J,1,0.5404450358478042,0.959767365373721
btad,corrected,0,1,01,BAL_D_L,1,0.560329142522374,0.9642339948682617
btad,study,0,1,01,D,1,0.21169578285722637,0.909257029517975
btad,study,0,1,01,A1_J,1,0.5837045234519416,0.963272987745304
btad,study,0,1,01,A1_L,1,0.5953971101496794,0.9660974316391857
btad,study,0,1,01,DUP_J,1,0.5726141131385231,0.9611901456173535
btad,study,0,1,01,DUP_L,1,0.5809780733062899,0.9634115700795945
btad,study,0,1,01,TRI_D_J,1,0.5220678321647045,0.9569444241037288
btad,study,0,1,01,TRI_D_L,1,0.5387212147941244,0.9610842747229397
btad,study,0,1,01,BAL_D_J,1,0.5404450344188424,0.9597673660977221
btad,study,0,1,01,BAL_D_L,1,0.5603291474264207,0.9642339970377746
btad,corrected,0,1,02,D,1,0.69049627862565,0.9631432161412146
btad,corrected,0,1,02,A1_J,1,0.6105977659336349,0.9645940467843307
btad,corrected,0,1,02,A1_L,1,0.6157193362081749,0.9648697425302835
btad,corrected,0,1,02,DUP_J,1,0.5970776855542713,0.9638236002904638
btad,corrected,0,1,02,DUP_L,1,0.6015381010986444,0.9640661288589231
btad,corrected,0,1,02,TRI_D_J,1,0.6678114382750227,0.968758561712497
btad,corrected,0,1,02,TRI_D_L,1,0.6815993834427473,0.9694076671041568
btad,corrected,0,1,02,BAL_D_J,1,0.6621482808162465,0.9684670453318951
btad,corrected,0,1,02,BAL_D_L,1,0.6738644549087531,0.9691419633936239
btad,study,0,1,02,D,1,0.69049627862565,0.9631432161412146
btad,study,0,1,02,A1_J,1,0.6105977549953238,0.9645940461375176
btad,study,0,1,02,A1_L,1,0.6157193449700082,0.9648697424436775
btad,study,0,1,02,DUP_J,1,0.5970776764700544,0.9638235999543814
btad,study,0,1,02,DUP_L,1,0.6015381072633675,0.9640661288725846
btad,study,0,1,02,TRI_D_J,1,0.6678114428079119,0.9687585619563326
btad,study,0,1,02,TRI_D_L,1,0.6815993854872366,0.9694076669229651
btad,study,0,1,02,BAL_D_J,1,0.6621482824303562,0.9684670451746381
btad,study,0,1,02,BAL_D_L,1,0.6738644571306265,0.9691419628311552
btad,corrected,0,1,03,D,1,0.3766782727547445,0.977932714851341
btad,corrected,0,1,03,A1_J,1,0.659724041656293,0.9923482047846642
btad,corrected,0,1,03,A1_L,1,0.6736676074575646,0.9935363108069494
btad,corrected,0,1,03,DUP_J,1,0.6562331759034504,0.9914867651585395
btad,corrected,0,1,03,DUP_L,1,0.6659252468810353,0.9925554596565824
btad,corrected,0,1,03,TRI_D_J,1,0.6955776177779687,0.993021381025037
btad,corrected,0,1,03,TRI_D_L,1,0.7082959144676656,0.9939896024264081
btad,corrected,0,1,03,BAL_D_J,1,0.6522982583981768,0.9927690989321315
btad,corrected,0,1,03,BAL_D_L,1,0.6684955352878965,0.9937770139538254
btad,study,0,1,03,D,1,0.3837230848222179,0.9803176369810319
btad,study,0,1,03,A1_J,1,0.6686159584698684,0.9932159452324181
btad,study,0,1,03,A1_L,1,0.679484581674093,0.994111538575605
btad,study,0,1,03,DUP_J,1,0.6641221343107568,0.9924991934154921
btad,study,0,1,03,DUP_L,1,0.67133714663781,0.9932842636738196
btad,study,0,1,03,TRI_D_J,1,0.7043028775016947,0.9943088974688055
btad,study,0,1,03,TRI_D_L,1,0.7152007163552058,0.9949892733339482
btad,study,0,1,03,BAL_D_J,1,0.6628655379316435,0.9939257294657604
btad,study,0,1,03,BAL_D_L,1,0.6750114002525951,0.9945918209286487
btad,corrected,0,4,01,D,1,0.22576511179804806,0.9145681190951032
btad,corrected,0,4,01,A1_J,1,0.5972996038362748,0.9654631911968033
btad,corrected,0,4,01,A1_L,1,0.6063146131325406,0.9671356228966529
btad,corrected,0,4,01,DUP_J,1,0.5876550711927067,0.9634261827367671
btad,corrected,0,4,01,DUP_L,1,0.5947071297077959,0.9647681267599271
btad,corrected,0,4,01,TRI_D_J,1,0.5380764042528643,0.9597412941732734
btad,corrected,0,4,01,TRI_D_L,1,0.5495813780082927,0.9617484431527669
btad,corrected,0,4,01,BAL_D_J,1,0.5552846420449753,0.9624917665510168
btad,corrected,0,4,01,BAL_D_L,1,0.5677691708331903,0.9646606482167288
btad,study,0,4,01,D,1,0.22576511179804806,0.9145681190951032
btad,study,0,4,01,A1_J,1,0.5972996014266854,0.9654631910739007
btad,study,0,4,01,A1_L,1,0.6063146113699899,0.9671356232324261
btad,study,0,4,01,DUP_J,1,0.5876550716871697,0.9634261824731288
btad,study,0,4,01,DUP_L,1,0.5947071276727613,0.9647681269008234
btad,study,0,4,01,TRI_D_J,1,0.5380764006435974,0.9597412940011293
btad,study,0,4,01,TRI_D_L,1,0.549581373007951,0.961748443233256
btad,study,0,4,01,BAL_D_J,1,0.5552846359664005,0.9624917654125205
btad,study,0,4,01,BAL_D_L,1,0.5677691655740434,0.9646606482944065
btad,corrected,0,4,02,D,1,0.6676433539542871,0.9615947168112794
btad,corrected,0,4,02,A1_J,1,0.5979752122663653,0.9622495636246964
btad,corrected,0,4,02,A1_L,1,0.6068172282922759,0.9628828871011245
btad,corrected,0,4,02,DUP_J,1,0.5854511293289795,0.9614186003151488
btad,corrected,0,4,02,DUP_L,1,0.5916673058365248,0.9618721299042086
btad,corrected,0,4,02,TRI_D_J,1,0.6581066162614149,0.9666304939773022
btad,corrected,0,4,02,TRI_D_L,1,0.6668448922188643,0.9673782806674431
btad,corrected,0,4,02,BAL_D_J,1,0.6547347079810607,0.9666887935162745
btad,corrected,0,4,02,BAL_D_L,1,0.662854469103038,0.9674324743269034
btad,study,0,4,02,D,1,0.6676433539542871,0.9615947168112794
btad,study,0,4,02,A1_J,1,0.597975214049339,0.9622495637817944
btad,study,0,4,02,A1_L,1,0.606817228393161,0.9628828866428563
btad,study,0,4,02,DUP_J,1,0.5854511309604682,0.9614186004278016
btad,study,0,4,02,DUP_L,1,0.5916673050932556,0.961872129614279
btad,study,0,4,02,TRI_D_J,1,0.6581066230292195,0.9666304944131797
btad,study,0,4,02,TRI_D_L,1,0.6668448902064196,0.9673782803406303
btad,study,0,4,02,BAL_D_J,1,0.6547347233330489,0.9666887946687575
btad,study,0,4,02,BAL_D_L,1,0.6628544666989942,0.9674324737054332
btad,corrected,0,4,03,D,1,0.4522221297547079,0.9836727564558945
btad,corrected,0,4,03,A1_J,1,0.7511088042942017,0.9971466550512007
btad,corrected,0,4,03,A1_L,1,0.7691520745740087,0.9976859676467635
btad,corrected,0,4,03,DUP_J,1,0.7533281919157042,0.9968877771261194
btad,corrected,0,4,03,DUP_L,1,0.7629112141211444,0.9973414311836135
