dataset,seed,shot,n_categories,resize,imagesize,status,seconds,device_peak_mb,device_idle_mb,predictions
btad,0,1,3,448,448,completed,819.8,2647.0,1740.0,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\btad_s0_k1\predictions
mpdd,0,1,6,448,448,completed,396.8,2470.0,1524.0,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mpdd_s0_k1\predictions
mvtec,0,1,15,448,448,completed,900.2,2490.0,1499.0,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions
visa,0,1,12,448,448,completed,1027.2,2569.0,1500.0,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\visa_s0_k1\predictions
